atc-fib-fm350_gl - 2024-08-04-0.2
base-files - 1672~ab4c7d6af7
busybox - 1.36.1-r2
ca-bundle - 20260223-r1
cgi-io - 2022.08.10~901b0f04-r21
chat - 2.5.1-r1
comgt - 0.32-r36
curl - 8.19.0-r2
dnsmasq - 2.90-r5
dropbear - 2024.86-r2
eip197-mini-firmware - 20241110-r2
firewall4 - 2024.12.18~18fc0ead-r1
fitblk - 2
fstools - 2024.07.14~408c2cc4-r1
fwtool - 2019.11.12~8f7fe925-r1
getrandom - 2024.04.26~85f10530-r1
hostapd-common - 2024.09.15~5ace39b0-r2
iperf3 - 3.17.1-r4
iw - 6.9-r1
iwinfo - 2024.10.20~b94f066e-r1
jansson4 - 2.14-r3
jshn - 2025.07.23~49056d17-r1
jsonfilter - 2025.04.18~8a86fb78-r1
kernel - 6.6.141~43cbcde0affaaf16309bb4ab09799e9a-r1
kmod-cfg80211 - 6.6.141.6.12.61-r1
kmod-crypto-acompress - 6.6.141-r1
kmod-crypto-aead - 6.6.141-r1
kmod-crypto-authenc - 6.6.141-r1
kmod-crypto-ccm - 6.6.141-r1
kmod-crypto-cmac - 6.6.141-r1
kmod-crypto-crc32c - 6.6.141-r1
kmod-crypto-ctr - 6.6.141-r1
kmod-crypto-des - 6.6.141-r1
kmod-crypto-gcm - 6.6.141-r1
kmod-crypto-geniv - 6.6.141-r1
kmod-crypto-gf128 - 6.6.141-r1
kmod-crypto-ghash - 6.6.141-r1
kmod-crypto-hash - 6.6.141-r1
kmod-crypto-hmac - 6.6.141-r1
kmod-crypto-hw-safexcel - 6.6.141-r1
kmod-crypto-manager - 6.6.141-r1
kmod-crypto-md5 - 6.6.141-r1
kmod-crypto-null - 6.6.141-r1
kmod-crypto-rng - 6.6.141-r1
kmod-crypto-seqiv - 6.6.141-r1
kmod-crypto-sha1 - 6.6.141-r1
kmod-crypto-sha256 - 6.6.141-r1
kmod-crypto-sha3 - 6.6.141-r1
kmod-crypto-sha512 - 6.6.141-r1
kmod-gpio-button-hotplug - 6.6.141-r5
kmod-hwmon-core - 6.6.141-r1
kmod-hwmon-pwmfan - 6.6.141-r1
kmod-leds-gpio - 6.6.141-r1
kmod-lib-crc-ccitt - 6.6.141-r1
kmod-lib-crc32c - 6.6.141-r1
kmod-lib-lzo - 6.6.141-r1
kmod-libphy - 6.6.141-r1
kmod-mac80211 - 6.6.141.6.12.61-r1
kmod-mii - 6.6.141-r1
kmod-mt76-connac - 6.6.141.2025.11.06~eb567bc7-r1
kmod-mt76-core - 6.6.141.2025.11.06~eb567bc7-r1
kmod-mt7915e - 6.6.141.2025.11.06~eb567bc7-r1
kmod-mt7981-firmware - 6.6.141.2025.11.06~eb567bc7-r1
kmod-nf-conntrack - 6.6.141-r1
kmod-nf-conntrack6 - 6.6.141-r1
kmod-nf-flow - 6.6.141-r1
kmod-nf-log - 6.6.141-r1
kmod-nf-log6 - 6.6.141-r1
kmod-nf-nat - 6.6.141-r1
kmod-nf-reject - 6.6.141-r1
kmod-nf-reject6 - 6.6.141-r1
kmod-nfnetlink - 6.6.141-r1
kmod-nft-core - 6.6.141-r1
kmod-nft-fib - 6.6.141-r1
kmod-nft-nat - 6.6.141-r1
kmod-nft-offload - 6.6.141-r1
kmod-nls-base - 6.6.141-r1
kmod-phy-aquantia - 6.6.141-r1
kmod-ppp - 6.6.141-r1
kmod-pppoe - 6.6.141-r1
kmod-pppox - 6.6.141-r1
kmod-slhc - 6.6.141-r1
kmod-thermal - 6.6.141-r1
kmod-usb-core - 6.6.141-r1
kmod-usb-ehci - 6.6.141-r1
kmod-usb-net - 6.6.141-r1
kmod-usb-net-cdc-ether - 6.6.141-r1
kmod-usb-net-cdc-mbim - 6.6.141-r1
kmod-usb-net-cdc-ncm - 6.6.141-r1
kmod-usb-net-rndis - 6.6.141-r1
kmod-usb-serial - 6.6.141-r1
kmod-usb-serial-option - 6.6.141-r1
kmod-usb-serial-wwan - 6.6.141-r1
kmod-usb-wdm - 6.6.141-r1
kmod-usb-xhci-hcd - 6.6.141-r1
kmod-usb-xhci-mtk - 6.6.141-r1
