trial,kind,valid,informative,updown,unknown,usb,signal
1,BASE,0,1,1,0,11,1
1,CAND,1,0,0,0,0,0
2,BASE,1,1,5,0,0,2
2,CAND,1,0,0,0,0,0
3,BASE,0,1,5,0,1,2
3,CAND,1,0,0,0,0,0
4,BASE,0,1,1,1,12,1
4,CAND,1,0,0,0,0,0
5,BASE,1,1,5,0,0,2
5,CAND,1,0,0,0,0,0
6,BASE,0,1,5,0,1,2
6,CAND,1,0,0,0,0,0
7,BASE,0,1,1,1,11,2
7,CAND,1,0,0,0,0,0
8,BASE,1,1,5,0,0,2
8,CAND,1,0,0,0,0,0
9,BASE,0,1,5,0,1,2
9,CAND,1,0,0,0,0,0
10,BASE,0,1,1,1,11,2
10,CAND,1,0,0,0,0,0
11,BASE,1,1,5,0,0,2
11,CAND,1,0,0,0,0,0
12,BASE,0,1,5,0,1,2
12,CAND,1,0,0,0,0,0
