trial,kind,valid,informative,updown,unknown,usb,signal,silent
1,BASE,0,1,1,0,11,1,0
1,CAND,1,0,0,0,0,0,1
2,BASE,1,1,5,0,0,2,0
2,CAND,1,0,0,0,0,0,1
3,BASE,0,1,5,0,1,2,0
3,CAND,1,0,0,0,0,0,1
4,BASE,0,1,1,1,11,1,0
4,CAND,1,0,0,0,0,0,1
5,BASE,1,1,5,0,0,2,0
5,CAND,1,0,0,0,0,0,1
6,BASE,0,1,5,0,1,2,0
6,CAND,1,0,0,0,0,0,1
7,BASE,0,1,1,1,11,2,0
7,CAND,1,0,0,0,0,0,1
8,BASE,1,1,5,0,0,2,0
8,CAND,1,0,0,0,0,0,1
9,BASE,0,1,5,0,1,2,0
9,CAND,1,0,0,0,0,0,1
10,BASE,0,1,1,1,11,2,0
10,CAND,1,0,0,0,0,0,1
11,BASE,1,1,5,0,0,2,0
11,CAND,1,0,0,0,0,0,1
12,BASE,0,1,5,0,1,2,0
12,CAND,1,0,0,0,0,0,1
13,BASE,0,1,1,1,11,2,0
13,CAND,1,0,0,0,0,0,1
14,BASE,1,1,5,0,0,2,0
14,CAND,1,0,0,0,0,0,1
15,BASE,0,1,5,0,1,2,0
15,CAND,1,0,0,0,0,0,1
16,BASE,0,1,1,1,11,1,0
16,CAND,1,0,0,0,0,0,1
17,BASE,1,1,5,0,0,2,0
17,CAND,1,0,0,0,0,0,1
18,BASE,0,1,5,0,1,2,0
18,CAND,1,0,0,0,0,0,1
19,BASE,0,1,1,1,11,1,0
19,CAND,1,0,0,0,0,0,1
20,BASE,1,1,5,0,0,2,0
20,CAND,1,0,0,0,0,0,1
